"Epic","Feature","Story","FAILED","BROKEN","PASSED","SKIPPED","UNKNOWN"
"API Tests","Posts API","GET /posts — проверка структуры ответа","0","0","1","0","0"
"API Tests","Posts API","GET /posts — проверить каждый пост по ID","0","0","10","0","0"
"API Tests","Users API","GET /users — уникальные ID","0","0","1","0","0"
"API Tests","Posts API","PATCH /posts — частично обновить пост","0","0","1","0","0"
"API Tests","Users API","GET /users — проверить количество пользователей","0","0","1","0","0"
"API Tests","Posts API","DELETE /posts — удалить пост","0","0","1","0","0"
"API Tests","Users API","GET /users — все website содержат точку","0","0","1","0","0"
"API Tests","Posts API","POST /posts — создать пост с длинным заголовком","0","0","1","0","0"
"API Tests","Miscellaneous API","GET /comments — фильтрация по postId","0","0","1","0","0"
"API Tests","Posts API","GET /posts — несуществующий пост","0","0","1","0","0"
"API Tests","Posts API","POST — создание эхом возвращает отправленные данные","0","0","1","0","0"
"API Tests","Posts API","GET /posts — получить пост по ID","0","0","1","0","0"
"API Tests","Posts API","GET /posts — получить все посты","0","0","1","0","0"
"API Tests","Miscellaneous API","GET /todos — фильтрация по completed","0","0","1","0","0"
"API Tests","Miscellaneous API","GET /albums — фильтрация по userId","0","0","1","0","0"
"API Tests","Users API","GET /users — получить всех пользователей","0","0","1","0","0"
"API Tests","Miscellaneous API","GET /albums — получить все альбомы","0","0","1","0","0"
"API Tests","Posts API","POST /posts — создать пост с пустым телом","0","0","1","0","0"
"API Tests","Miscellaneous API","GET /comments — проверить email в комментариях","0","0","1","0","0"
"API Tests","Miscellaneous API","GET /posts — проверка времени ответа","0","0","1","0","0"
"API Tests","Users API","GET /users — проверить структуру","0","0","1","0","0"
"API Tests","Miscellaneous API","GET /todos — получить все задачи","0","0","1","0","0"
"API Tests","Posts API","GET /posts — фильтрация по userId","0","0","1","0","0"
"API Tests","Posts API","POST /posts — создать новый пост","0","0","1","0","0"
"API Tests","Users API","GET /users — фильтрация по имени","0","0","1","0","0"
"API Tests","Miscellaneous API","GET /todos — фильтрация по userId + completed","0","0","1","0","0"
"API Tests","Miscellaneous API","GET /comments — получить все комментарии","0","0","1","0","0"
"API Tests","Users API","GET /users — все email содержат @","0","0","1","0","0"
"API Tests","Miscellaneous API","GET /posts — проверка Content-Type","0","0","1","0","0"
"API Tests","Users API","GET /users — негативный сценарий","0","0","1","0","0"
"API Tests","Posts API","PUT /posts — обновить пост","0","0","1","0","0"
"API Tests","Posts API","POST /posts — создать пост с HTML-контентом","0","0","1","0","0"
"UI Tests","Login","Проверка элементов страницы логина","0","0","1","0","0"
"UI Tests","Cart & Checkout","Checkout: пустая фамилия","0","0","1","0","0"
"UI Tests","Cart & Checkout","Checkout: итоговая сумма","0","0","1","0","0"
"UI Tests","Cart & Checkout","Корзина: удалить товар из корзины","0","0","1","0","0"
"UI Tests","Login","Успешный логин стандартного пользователя","0","0","1","0","0"
"UI Tests","Cart & Checkout","Корзина: пустая корзина","0","0","1","0","0"
"UI Tests","Login","Неверный логин","0","0","1","0","0"
"UI Tests","Cart & Checkout","Checkout: возврат на главную после покупки","0","0","1","0","0"
"UI Tests","Catalog","Каталог: добавить товар и перейти в корзину","0","0","1","0","0"
"UI Tests","Cart & Checkout","Checkout: успешная покупка (E2E)","0","0","1","0","0"
"UI Tests","Login","Пустой логин","0","0","1","0","0"
"UI Tests","Cart & Checkout","Корзина: добавить 3 товара","0","0","1","0","0"
"UI Tests","Catalog","Каталог: добавить несколько товаров","0","0","1","0","0"
"UI Tests","Cart & Checkout","Корзина: вернуться в каталог","0","0","1","0","0"
"UI Tests","Catalog","Каталог: сортировка по цене (от дешёвых)","0","0","1","0","0"
"UI Tests","Cart & Checkout","Checkout: отмена заказа","0","0","1","0","0"
"UI Tests","Login","Пустые оба поля","0","0","1","0","0"
"UI Tests","Cart & Checkout","Checkout: пустой индекс","0","0","1","0","0"
"UI Tests","Cart & Checkout","Checkout: пустое имя","0","0","1","0","0"
"UI Tests","Login","Неверный пароль","0","0","1","0","0"
"UI Tests","Login","Пустой пароль","0","0","1","0","0"
"UI Tests","Catalog","Каталог: переход в корзину","0","0","1","0","0"
"UI Tests","Login","Логин performance_glitch_user","0","0","1","0","0"
"UI Tests","Cart & Checkout","Корзина: добавить 1 товар","0","0","1","0","0"
"UI Tests","Login","Логин problems_user","0","0","1","0","0"
"UI Tests","Catalog","Каталог: заголовок страницы","0","0","1","0","0"
"UI Tests","Catalog","Каталог: все товары имеют название","0","0","1","0","0"
"UI Tests","Catalog","Каталог: сортировка по цене (от дорогих)","0","0","1","0","0"
"UI Tests","Login","Логин заблокированного пользователя","0","0","1","0","0"
"UI Tests","Login","Кнопка логина кликабельна","0","0","1","0","0"
"UI Tests","Catalog","Каталог: сортировка по имени (Z-A)","0","0","1","0","0"
"UI Tests","Catalog","Каталог: выход из аккаунта","0","0","1","0","0"
"UI Tests","Catalog","Каталог: отображение товаров","0","0","1","0","0"
"UI Tests","Catalog","Каталог: все товары имеют цену","0","0","1","0","0"
"UI Tests","Catalog","Каталог: удалить товар из каталога","0","0","1","0","0"
"UI Tests","Catalog","Каталог: добавить товар в корзину","0","0","1","0","0"
"UI Tests","Catalog","Каталог: сортировка по имени (A-Z)","0","0","1","0","0"
