"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Fri Sep 11 14:38:52 UTC 2026","Fri Sep 11 14:38:52 UTC 2026","127","","Posts CRUD Tests","","qa.api.ApiTest","getPostById_shouldHaveCorrectTypes","GET /posts/1 — все поля имеют корректные типы",""
"passed","Fri Sep 11 14:38:54 UTC 2026","Fri Sep 11 14:38:54 UTC 2026","83","","Posts CRUD Tests","","qa.api.ApiTest","getPostById_parameterized","GET /posts/{id} — параметризованный тест для ID 1-10 Post ID = 10",""
"passed","Fri Sep 11 14:38:51 UTC 2026","Fri Sep 11 14:38:51 UTC 2026","111","","Users API Tests","","qa.api.UsersApiTest","getAllUsers_uniqueIds","GET /users — все ID уникальны",""
"passed","Fri Sep 11 14:38:53 UTC 2026","Fri Sep 11 14:38:53 UTC 2026","134","","Posts CRUD Tests","","qa.api.ApiTest","getPostById_parameterized","GET /posts/{id} — параметризованный тест для ID 1-10 Post ID = 2",""
"passed","Fri Sep 11 14:38:53 UTC 2026","Fri Sep 11 14:38:53 UTC 2026","177","","Posts CRUD Tests","","qa.api.ApiTest","patchPost_shouldUpdateTitle","PATCH /posts/1 — обновить только заголовок",""
"passed","Fri Sep 11 14:38:53 UTC 2026","Fri Sep 11 14:38:53 UTC 2026","113","","Posts CRUD Tests","","qa.api.ApiTest","getPostById_parameterized","GET /posts/{id} — параметризованный тест для ID 1-10 Post ID = 3",""
"passed","Fri Sep 11 14:38:48 UTC 2026","Fri Sep 11 14:38:50 UTC 2026","2375","","Users API Tests","","qa.api.UsersApiTest","getAllUsers_exactly10Users","GET /users — ровно 10 пользователей",""
"passed","Fri Sep 11 14:38:54 UTC 2026","Fri Sep 11 14:38:54 UTC 2026","178","","Posts CRUD Tests","","qa.api.ApiTest","deletePost_shouldReturn200","DELETE /posts/1 — удалить пост (статус 200)",""
"passed","Fri Sep 11 14:38:53 UTC 2026","Fri Sep 11 14:38:53 UTC 2026","82","","Posts CRUD Tests","","qa.api.ApiTest","getPostById_parameterized","GET /posts/{id} — параметризованный тест для ID 1-10 Post ID = 6",""
"passed","Fri Sep 11 14:38:54 UTC 2026","Fri Sep 11 14:38:54 UTC 2026","82","","Posts CRUD Tests","","qa.api.ApiTest","getPostById_parameterized","GET /posts/{id} — параметризованный тест для ID 1-10 Post ID = 9",""
"passed","Fri Sep 11 14:38:53 UTC 2026","Fri Sep 11 14:38:54 UTC 2026","116","","Posts CRUD Tests","","qa.api.ApiTest","getPostById_parameterized","GET /posts/{id} — параметризованный тест для ID 1-10 Post ID = 7",""
"passed","Fri Sep 11 14:38:52 UTC 2026","Fri Sep 11 14:38:52 UTC 2026","132","","Users API Tests","","qa.api.UsersApiTest","getAllUsers_websitesShouldBeValid","GET /users — website валидный домен",""
"passed","Fri Sep 11 14:38:52 UTC 2026","Fri Sep 11 14:38:53 UTC 2026","121","","Posts CRUD Tests","","qa.api.ApiTest","createPost_longTitle_shouldReturn201","POST /posts — заголовок > 1000 символов",""
"passed","Fri Sep 11 14:38:56 UTC 2026","Fri Sep 11 14:38:56 UTC 2026","162","","Comments, Albums, Todos Tests","","qa.api.MiscApiTest","getCommentsByPostId_shouldFilter","GET /comments?postId=1 — комментарии к посту 1",""
"passed","Fri Sep 11 14:38:54 UTC 2026","Fri Sep 11 14:38:55 UTC 2026","187","","Posts CRUD Tests","","qa.api.ApiTest","getPostById_notFound_shouldReturn404","GET /posts/99999 — вернуть 404 для несуществующего поста",""
"passed","Fri Sep 11 14:38:54 UTC 2026","Fri Sep 11 14:38:54 UTC 2026","173","","Posts CRUD Tests","","qa.api.ApiTest","createPost_shouldEchoSubmittedData","POST /posts — 201, ответ содержит те же title/body/userId и присвоенный id",""
"passed","Fri Sep 11 14:38:55 UTC 2026","Fri Sep 11 14:38:55 UTC 2026","137","","Posts CRUD Tests","","qa.api.ApiTest","getPostById_shouldReturnPost","GET /posts/1 — вернуть конкретный пост",""
"passed","Fri Sep 11 14:38:54 UTC 2026","Fri Sep 11 14:38:54 UTC 2026","223","","Posts CRUD Tests","","qa.api.ApiTest","getAllPosts_shouldReturn200","GET /posts — вернуть список всех постов (статус 200)",""
"passed","Fri Sep 11 14:38:56 UTC 2026","Fri Sep 11 14:38:56 UTC 2026","125","","Comments, Albums, Todos Tests","","qa.api.MiscApiTest","getCompletedTodos_shouldFilter","GET /todos?completed=true — только выполненные",""
"passed","Fri Sep 11 14:38:56 UTC 2026","Fri Sep 11 14:38:56 UTC 2026","177","","Comments, Albums, Todos Tests","","qa.api.MiscApiTest","getAlbumsByUserId","GET /albums?userId=1 — альбомы пользователя 1",""
